,a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
2126,Lund_02468,Body of water,Water resources,Water,Nature,Natural landscape,River,Reservoir,Natural environment,Sky,Bank,Nobbel6vs mosse,L  Lilja Skold, Sep 2016
2127,Lund_00698,Landmark,Estate,Mansion,Sky,Building,Property,Architecture,House,Home,Palace,Lundagérd 9,@ Louise Medin,
2128,Lund_00638,Building,Landmark,Architecture,Property,Classical architecture,Mansion,Palace,Estate,,,Lundagérd ¢,. Liv, Jan 2017
2129,Lund_03031,Road,Asphalt,Property,Lane,Residential area,Infrastructure,Road surface,Thoroughfare,,,21 Tulpanvégen,"Lund, Skane County",
2130,Lund_00850,Estate,Building,Palace,Mansion,Landmark,Property,Architecture,Château,Sky,House,Lundagérd,@ Lars Welin, Jul 2017
2131,Lund_00335,Architecture,Building,,,,,,,,,Botanical Garden,L AL e, Sep 2018
2132,Lund_02910,House,Property,Building,Cottage,Tree,Home,Sky,,,,Ostra Torns Montess,g Mats Lund, Jul 2016
2133,Lund_01275,Estate,Property,Public space,Building,Campus,Architecture,,,,,Lundagérd 9,a 31 E,
2134,Lund_00635,Landmark,Architecture,Building,Medieval architecture,,,,,,,Lundagérd,@ 3Tl ), Apr 2018
2135,Lund_00410,Landmark,Architecture,Building,City,Town,Sky,,,,,Lund Cathedral,{j Pascal BASROGE, Jun 2018
2136,Lund_01941,Urban area,Metropolitan area,City,Sky,Town,Human settlement,,,,,Elite Hotel Ideon,Renard Kutrzeba, Jul 2016
2137,Lund_01432,Natural landscape,Tree,Sky,Grass,Green,Daytime,Lawn,Spring,Pasture,Natural environment,Botanical Garden,W) Wokitty b, May 2018
2138,Lund_00621,Aerial photography,Metropolitan area,Residential area,Bird's-eye view,Suburb,Urban area,Urban design,Junction,Neighbourhood,Human settlement,0 Per Pixel Peterss,0 Per Pixel Peterss, Jul 2015
2139,Lund_01597,Fountain,Water,Reflecting pool,Landmark,Garden,Water feature,Botany,Botanical garden,Pond,Tree,Lundagérd ¢,ﬁ Kiryl Shantyka, Jun 2017
2140,Lund_02004,Building,Architecture,Grass,,,,,,,,,,
2141,Lund_01280,Landmark,Architecture,Building,Town,Church,Facade,,,,,Lund Cathedral,Per-Inge Strém, Jul 2017
2142,Lund_01499,Water,Pond,Estate,Garden,Property,Fountain,Water resources,Reflecting pool,Botany,Tree,Stadsparken 9,Daniel Klang, Jun 2014
2143,Lund_01116,Landmark,Architecture,Medieval architecture,Building,Classical architecture,Gothic architecture,Facade,Place of worship,Church,,Domkyrkoplatsen ¢,=N ETi(e e, May 2018
2144,Lund_02267,Sky,Nature,Water,Reflection,Water resources,Natural environment,Lake,,,,Rabysjon och Raby s,Joakim Erlandss, Jul 2017
2145,Lund_00367,Landmark,Building,Architecture,Mansion,Estate,Palace,Official residence,Presidential palace,,,Lundagérd 8,%) David Smith, May 2017
2146,Lund_00167,Landmark,Building,Architecture,Tree,Estate,,,,,,‘ CeBpanuHa [lyHi,‘ CeBpanuHa [lyHi, Dec 2016
2147,Lund_02425,Roof,Residential area,Town,Neighbourhood,Urban area,City,Human settlement,Suburb,Building,Metropolitan area,LT ELLER BT,"g R oo,", May 2016
2148,Lund_02139,Estate,Building,Palace,,,,,,,,Lundagérd,Karin Rosengren, Jul 2017
2149,Lund_00986,Building,Landmark,Architecture,Town,Medieval architecture,Cathedral,City,,,,Stortorget B,(o e I=H Y], Mar 2017
2150,Lund_01968,Building,Estate,Mansion,Palace,Architecture,Official residence,Stately home,,,,Lundagérd,Anna Honkanen, Sep 2017
2151,Lund_01939,Garden,Botanical garden,Spring,Botany,Park,Reflecting pool,Flower,Water,,,Lundagérd,lefteris Bakosis, May 2018
2152,Lund_01285,Landmark,Architecture,Building,Church,Place of worship,Medieval architecture,Steeple,Town,Cathedral,Sky,Allhelgonakyrkan ¢,Jens Ngrbaek, May 2018
2153,Lund_02732,Sky,Natural landscape,Horizon,Grassland,Natural environment,Field,Grass,Atmospheric phenomenon,Plain,Line,Nobbel6vs mosse,Nobbel6vs mosse, Dec 2016
2154,Lund_02244,Grass,Architecture,Property,Sky,Land lot,,,,,,Klostergérdens IP,Jack Forsberg, Nov 2016
2155,Lund_00814,Estate,Building,Green,Sky,Grass,Palace,Property,Mansion,House,Architecture,Lundagérd,é B umberto mazzoc, Aug 2014
2156,Lund_02426,Property,House,Home,Cottage,Building,,,,,,Innergérden,@ YR Gl,
2157,Lund_02155,Natural landscape,Tree,Grass,Sky,Park,,,,,,Botanical Garden,Karol Raczkowsk, May 2009
2158,Lund_01977,Town,City,Landmark,Human settlement,Public space,Architecture,Building,,,,Lund Tourist Center,Lund Tourist Center, Dec 2016
2159,Lund_00200,Architecture,Transport,Sky,Urban area,Residential area,,,,,,Lund H,"‘@.""S Kamal Dayob", Mar 2018
2160,Lund_00248,Estate,Building,Palace,Château,Mansion,Landmark,Stately home,Official residence,Architecture,,Lundagérd 9,J) Javier Castro, May 2017
2161,Lund_01548,Medieval architecture,Building,Landmark,Architecture,,,,,,,Lund Cathedral,Seger achternaar, Mar 2017
2162,Lund_01568,Property,Building,,,,,,,,,Ljungs Handel ¢,Johan Ljung, Aug 2017
2163,Lund_01158,Property,Architecture,Building,Estate,,,,,,,Lundagérd,L) UIf Zimmermann, Aug 2018
2164,Lund_00476,Building,Estate,Mansion,Landmark,Property,Palace,Stately home,Château,Architecture,,[T T VT,A ' Anna Ostrowska, Jul 2018
2165,Lund_00289,Landmark,Building,Architecture,Estate,Tree,,,,,,[T L He 1 BT,‘g) Bartosz Klukacze, Sep 2014
2166,Lund_02842,Classical architecture,Building,Landmark,Architecture,Mansion,Palace,Estate,Official residence,,,Lundagérd c,Ludovic Barth, Jul 2015
2167,Lund_00578,Building,Architecture,Estate,,,,,,,,Lundagérd 9,N Nick Bourne, Jun 2018
2168,Lund_02437,Building,Sky,Landmark,Architecture,Property,Town,Château,Palace,Estate,,LTS T T T,D ) Daniel Wessel, Oct 2018
2169,Lund_00329,Building,Estate,Property,Château,Stately home,Architecture,Palace,,,,Bantorget,3% stefanos Karidak, Jun 2017
2170,Lund_02010,Green,Grass,Sky,Natural landscape,Tree,Land lot,,,,,Monument of the baf,Wokitty b, Jun 2017
2171,Lund_01114,Medieval architecture,Landmark,Architecture,Building,Castle,Fortification,,,,,Lundagérd,R N Y Y EY e, Jun 2011
2172,Lund_02894,Natural landscape,Waterway,Canal,River,Bank,Natural environment,Water,Watercourse,Grass,Water resources,,,
2173,Lund_00340,Building,Landmark,Sky,Architecture,Property,Town,Human settlement,City,Estate,Château,University Library,% Guillermo Fronte, Sep 2018
2174,Lund_02664,Pole,,,,,,,,,,Nobbel6vs mosse,BB BB Beigi, Jun 2017
2175,Lund_00727,Estate,Mansion,Property,Building,House,Home,Official residence,Palace,,,Lundagérd,@ leva Paskauskait, Sep 2015
2176,Lund_01144,Body of water,Waterway,Canal,River,Town,Property,Residential area,Human settlement,Bank,Neighbourhood,J. T,.}gg Genial Barani, Jun 2017
2177,Lund_01704,Classical architecture,Building,Architecture,Landmark,Palace,Facade,,,,,Lundagérd 9,Crac Isacuk, Aug 2018
2178,Lund_00542,Building,Estate,Palace,Mansion,Property,Stately home,Château,,,,Lundagérd,[ BRI TS, Sep 2016
2179,Lund_00287,Estate,Building,Landmark,Mansion,Architecture,Stately home,,,,,Lundagérd 8,'?- Balézs Szab6, May 2017
2180,Lund_00018,Landmark,Estate,Building,Mansion,Architecture,Palace,Sky,Stately home,,,"C"":} Leszek A Gasien","C"":} Leszek A Gasien", Jul 2017
2181,Lund_01561,Fountain,Water feature,Water,Park,,,,,,,Stadsparken,D # Douglas William:s, May 2017
2182,Lund_01979,Building,Mansion,Property,Winter,Landmark,Architecture,House,Estate,Home,,Lundagérd 9,Hanna Bard,
2183,Lund_00941,Building,Property,Estate,Palace,Public space,Plaza,Stately home,Human settlement,City,Mansion,Grand Hotel Lund,?L Per Irgens, Oct 2009
2184,Lund_02659,Property,Land lot,House,Residential area,Real estate,Home,,,,,Lund Vérpinge by,(é\; NG T LR, Apr 2010
2185,Lund_01588,Sky,Architecture,Landmark,Building,,,,,,,Café Ariman,Pedro J Martin, May 2018
2186,Lund_00657,Estate,Building,Property,Mansion,Landmark,Palace,House,,,,[T T VT,@ Andreas Schaller,
2187,Lund_02411,Fountain,Water,Water feature,Public space,,,,,,,Stadsparken,"@‘, Jonas Blomgqvist", May 2018
2188,Lund_02127,Property,Estate,Tree,House,,,,,,,Lundagérd ¢,@ Ludovic Barth, Jul 2015
2189,Lund_01288,Landmark,Sky,Architecture,Building,Daytime,Cathedral,Place of worship,Church,Cloud,,Lund Cathedral :,@ Jun Luo, Jun 2017
2190,Lund_00500,Château,Building,Estate,Property,Palace,Mansion,,,,,Bantorget -,L. -, Jul 2017
2191,Lund_01028,Building,Property,Architecture,Estate,,,,,,,Folkuniversitetets fo,LRI IYCET, Mar 2017
2192,Lund_00586,Landmark,Building,Sky,Architecture,Winter,Town,Water,,,,Bantorget,R Raul Monroy Gor,
2193,Lund_02435,Estate,Property,Building,Landmark,Sky,Architecture,House,Mansion,Home,Tree,Lundagérd,R Ryan Lannigan, Oct 2018
2194,Lund_02262,Road,Dirt road,Natural landscape,Nature,Grassland,Cloud,Sky,Natural environment,Plain,Vegetation,Klosteréingshdjden,Olexiy Avramche, Oct 2017
2195,Lund_00247,Estate,Building,Mansion,Property,Palace,Landmark,Stately home,Official residence,Château,Architecture,Lundagérd,% William Térneber, Apr 2018
2196,Lund_01611,Town,Landmark,City,Building,Human settlement,Street,Architecture,,,,[T TV HTET 3 T,a Abubakar M, Aug 2017
2197,Lund_00978,Landmark,Architecture,Sky,Building,Tree,,,,,,Lundagérd 9,% Vesna Fati¢, May 2017
2198,Lund_01890,Architecture,Landmark,Building,Medieval architecture,Sky,Church,Place of worship,,,,Lund Cathedral,Hermes Spaink,
2199,Lund_01790,Building,Architecture,Landmark,Classical architecture,Palace,Facade,,,,,Lundagérd g,‘\;) Vesna Fati¢, May 2017
2200,Lund_00006,Garden,Botanical garden,Park,Botany,Lawn,Spring,Plant,Tree,,,6 FACES TR,6 FACES TR, Jul 2012
2201,Lund_02312,Watercourse,Water resources,Bank,Stream,Riparian zone,Water,,,,,Rinnebick Gorge,2 1T T, Oct 2013
2202,Lund_00940,Natural landscape,Body of water,Reflection,Nature,Water,Sky,Tree,River,Bank,Natural environment,Stadsparken,ﬁ Jaime Mora Salv, Jun 2018
2203,Lund_02466,Brick,Property,Landmark,Architecture,Building,Brickwork,Wall,Sky,,,Lundagérd ¢,& Obbie Hadrian, Oct 2018
2204,Lund_01749,Building,Architecture,Landmark,Facade,Medieval architecture,Classical architecture,,,,,Lund Cathedral,r Marion Kaletta, Oct 2017
2205,Lund_02146,Garden,Botanical garden,Tree,Botany,Spring,Sky,Plant,Flower,,,Lundagérd,% William Térneber, Aug 2016
2206,Lund_01075,Building,Landmark,Property,Architecture,Estate,Palace,Mansion,Classical architecture,Sky,House,Lundagérd,‘a Sapkaris Nikolao, Aug 2018
2207,Lund_01600,Body of water,Water resources,Nature,Nature reserve,Natural landscape,Waterway,Vegetation,Bank,Watercourse,Water,Stadsparken,BIVIITVENT EEETT, May 2018
2208,Lund_00029,Estate,Building,Mansion,Property,Palace,Official residence,Manor house,,,,[T 3,. ling zhang, Sep 2015 |
2209,Lund_02388,Filling station,Fuel,Gasoline,Building,Transport,,,,,,CircleK,@ Accede'To Vegar, Jun 2018
2210,Lund_01194,Transport,Architecture,Mode of transport,Vehicle,Landmark,Building,Town,Bicycle,City,,[T T o1 T T T,ﬁ Imran Khan, Jun 2017
2211,Lund_00439,Château,Palace,Estate,Building,Mansion,Stately home,Castle,,,,Lundagérd,) IDEVIGEEN T Yo, Aug 2014
2212,Lund_01778,Landmark,Architecture,Building,City,,,,,,,Lund Cathedral :,Albin Wilander, Jul 2016
2213,Lund_02740,Canopy,Tent,,,,,,,,,Klostergérdens IP,42‘ Mats Lundstrom, Jun 2017
2214,Lund_01559,Town,City,Public space,Human settlement,Plaza,Building,Landmark,Town square,Pedestrian,Street,[T TV HTET 3 T,a Abubakar M, Aug 2017
2215,Lund_02189,Body of water,Water resources,Natural landscape,Riparian zone,Stream,Nature,Bank,Watercourse,Waterway,Water,Rinnebick Gorge 2,C Cathrin Jung, Jul 2016
2216,Lund_02811,Building,Town,Town square,Human settlement,Property,City,Plaza,Public space,,,,, Jun 2018
2217,Lund_01400,Town,Property,Building,Public space,City,,,,,,Stortorget :,UIf Danielsson, Aug 2017
2218,Lund_01560,Water,Fountain,Botanical garden,Botany,Reflecting pool,Garden,,,,,Lundagérd 9,G T4, Jul 2017
2219,Lund_02481,Building,Commercial building,Architecture,Corporate headquarters,,,,,,,' Petar Novkovic,' Petar Novkovic, Sep 2016
2220,Lund_02480,Estate,Property,Lawn,Natural landscape,House,Grass,Leaf,,,,Vasaplatsen,@ Tim Scharinger, Oct 2018
2221,Lund_02382,Grass,Lawn,Land lot,,,,,,,,Per Johan's Park pla,K Karl Wittenmark, Jul 2017
2222,Lund_01909,Body of water,Natural landscape,Nature,Bank,Vegetation,Water,Pond,Nature reserve,Natural environment,River,Stadsparken,51. Maziar Haghpan:, Aug 2017
2223,Lund_01937,Building,Estate,Mansion,Landmark,Property,Palace,Architecture,Stately home,Official residence,House,LTI G T,f@: Mister No, Sep 2017
2224,Lund_02513,Fountain,Water,Tree,Water feature,Botany,,,,,,g) Peter Vang Chris,g) Peter Vang Chris, Jul 2017
2225,Lund_01894,Building,Architecture,Property,Landmark,House,Neighbourhood,,,,,Historiska Museet Lt,@ (T QT T, Jan 2017
2226,Lund_02899,Sky,Field,Barley,Grassland,Rye,Natural environment,Plain,Grain,Prairie,Agriculture,L TR TR,\ARYIE T EEG RV ED, Jun 2018
2227,Lund_00876,Building,Landmark,Architecture,Town,Property,City,Human settlement,Sky,Public space,Urban area,Lundagérd g,@ Daniel Klein, Aug 2018
2228,Lund_02092,Building,Property,House,Home,Estate,Architecture,Mansion,,,,Sankt Lars sjukhus,6 IR DL, Aug 2017
2229,Lund_00936,Town,Building,Human settlement,City,Public space,Architecture,Town square,,,,Lundagérd,% LEVL GRGET ), Oct 2017
2230,Lund_00308,Building,Estate,Château,Property,Mansion,Palace,Stately home,Manor house,Architecture,House,Bantorget ¢,@ Kiryl Shantyka, Jun 2017
2231,Lund_01324,Landmark,Architecture,Building,Medieval architecture,Sky,,,,,,Lund Cathedral,ﬁ Sumeet Ranjan S, May 2017
2232,Lund_03033,Filling station,Fuel,Gasoline,Building,Transport,Sky,,,,,CircleK,1@ [ E R, Aug 2017
2233,Lund_00806,Landmark,Building,Estate,Mansion,Architecture,Palace,,,,,Lundagérd 8,"@,‘ (=11 E", May 2017
2234,Lund_03174,Natural landscape,Natural environment,Water,Nature reserve,Bank,River,Waterway,Water resources,Floodplain,Tree,N[ AT T T,i\ Bengt Jiirs, Jul 2014
2235,Lund_01151,Town,Property,Building,Public space,City,Human settlement,Neighbourhood,Architecture,Mixed-use,House,£ (g T,‘ﬁ James Andrews, May 2017
2236,Lund_02810,Landmark,Palace,Building,Estate,Mansion,Property,Classical architecture,Architecture,House,Stately home,FLELLA T RO TY,9 Nattawat Palaka, Sep 2007
2237,Lund_01438,Classical architecture,Building,Architecture,Landmark,Palace,Facade,,,,,Lundagérd 9,@ DLCI@L T, Jul 2017
2238,Lund_00922,Landmark,Building,Architecture,City,,,,,,,Lund Cathedral,c’} Robert Jacobsen, Jul 2017
2239,Lund_01944,Sport venue,Skatepark,Public space,Playground,,,,,,,Stadsparken 9,Stadsparken 9, Aug 2016
2240,Lund_01980,Property,Town,Building,House,Architecture,,,,,,Kulturen,‘ Marion Kaletta, Apr 2018
2241,Lund_01555,Property,Estate,Building,Landmark,Mansion,Architecture,House,Palace,,,Lundagérd 9,Magnus Borg,
2242,Lund_00773,Building,Landmark,Architecture,Medieval architecture,Stately home,Estate,,,,,Kungshuset ¢,S ShaMar, Mar 2018
2243,Lund_00032,Public space,City,Town,Human settlement,Architecture,Mode of transport,Building,,,,Rathaus,@ Hans Jirgen Klai, Sep 2018
2244,Lund_00341,Building,Estate,Mansion,Property,Landmark,House,Architecture,Palace,Classical architecture,Official residence,Lundagérd 9,B Ben Weston, Aug 2018
2245,Lund_02316,Property,House,Home,Roof,Building,Cottage,Real estate,Residential area,Architecture,Estate,Ostra Torns Montess,‘ LGB ORIl, May 2016
2246,Lund_02700,Pasture,Grazing,Grassland,Bovine,Field,Sky,Grass,Farm,Meadow,Natural landscape,Rinnebéck Gorge,(% Felicia Johansso, May 2018
2247,Lund_00831,Natural landscape,Body of water,Water resources,Nature,Water,Nature reserve,Lake,Natural environment,Green,Reservoir,. Peter Marklund,. Peter Marklund, Jul 2017
2248,Lund_01338,Sky,Fisheye lens,Landmark,Architecture,Photography,Town,Building,,,,[T T o1 T T T,Mark Vartok, Oct 2015
2249,Lund_01550,Sky,Architecture,Building,Landmark,Tree,Church,Medieval architecture,Place of worship,,,Lundagérd 9,"‘f."" Johan Visser", Mar 2017
2250,Lund_03189,Estate,Building,Landmark,Sky,Mansion,Palace,Architecture,Stately home,Château,,Lundagérd,Ozren HadZiagi¢-, Jul 2007
2251,Lund_00501,Château,Building,Estate,Property,Palace,Mansion,,,,,Bantorget -,L. -, Jul 2017
2252,Lund_00091,Building,Town,Architecture,City,Town square,Human settlement,Public space,,,,@ Saadiyah Darus,@ Saadiyah Darus, Sep 2009
2253,Lund_02177,Landmark,Architecture,Tower,Building,,,,,,,Lundagérd 9,Jorn Green, Sep 2017
2254,Lund_01643,Fountain,Garden,Water feature,Grass,Lawn,Sky,Public space,Tree,Water,Park,Stadsparken,Thomas Kuriako:, Sep 2017
2255,Lund_01197,Landmark,Architecture,Building,Sky,Tower,Medieval architecture,,,,,Lund Cathedral,Alexander Williar, Jul 2015
2256,Lund_01838,Landmark,Architecture,Building,Tree,,,,,,,[T T o1 T 1T,@ iR, May 2018
2257,Lund_02239,Property,Roof,House,Sky,Architecture,Building,Home,,,,RULLUX Markis & Pe,Michele Tasselli, Mar 2017
2258,Lund_01069,Landmark,Building,Architecture,Castle,,,,,,,Lundagérd,'j:_ Lucian Gevelegia, Aug 2008
2259,Lund_00459,Building,Property,Estate,Landmark,Mansion,House,Architecture,Palace,,,Lundagérd,m Marleen Heyvaer, Jan 2006
2260,Lund_00435,Landmark,Architecture,Sky,Building,Medieval architecture,Classical architecture,Church,Place of worship,Cathedral,Steeple,Lundagérd 9,6 Rene Wagner, Aug 2017
2261,Lund_00908,Building,Architecture,Classical architecture,Landmark,Property,Estate,Mansion,Palace,,,Lundagérd 9,[\ ), Aug 2014
2262,Lund_00015,Building,Property,House,Architecture,Town,,,,,,‘ (&1 EY T,‘ (&1 EY T, Dec 2016
2263,Lund_00471,Building,Property,Medieval architecture,Architecture,,,,,,,Kulturen |,Kulturen |, Aug 2016
2264,Lund_02595,Property,Building,Real estate,Home,House,,,,,,Lilla Coop H,O CRDTPI[),
2265,Lund_01992,Tree,Sky,House,Property,Leaf,Estate,Building,Autumn,Town,Woody plant,Lundagérd,"4,;:;0 IR el", Oct 2017
2266,Lund_00028,House,Property,Building,Architecture,,,,,,,@ Saadiyah Darus,@ Saadiyah Darus, Sep 2009
2267,Lund_00059,Property,Landmark,Building,Estate,Statue,Sculpture,,,,,"‘é"" [N","‘é"" [N", Aug 2018
2268,Lund_02865,Sky,Landmark,Blue,Natural landscape,Estate,Building,Tree,Château,Architecture,,Botanical Garden,6 SN YN, Jul 2015
2269,Lund_00199,Night,,,,,,,,,,"‘é"" [N","‘é"" [N", Aug 2018
2270,Lund_02120,Architecture,Building,Commercial building,Headquarters,Corporate headquarters,Facade,,,,,Sony Mobile Commu,Daniel Kacz, Aug 2016
2271,Lund_02496,Grass,Sport venue,Player,Team sport,,,,,,,Linero IP {,"@""‘ Staffan Slager", Aug 2016
2272,Lund_01525,Body of water,Pond,Bank,Water,Waterway,Reflection,Natural landscape,Tree,Canal,River,Botanical Garden,Jens Jgrgen Lykk, Apr 2018
2273,Lund_02629,House,Property,Home,Sky,Building,Architecture,Residential area,,,,L LT ST G,e Travel to, Jul 2017
2274,Lund_00351,Classical architecture,Building,Landmark,Architecture,Palace,Mansion,Official residence,Stately home,,,Lundagérd,@ Jarek Kedzierski, Dec 2016
2275,Lund_01133,Landmark,Architecture,,,,,,,,,[T T VT,Q chandan gupta, May 2017
2276,Lund_03137,Bird,Nature,Freshwater marsh,Nature reserve,Wildlife,Water,Green,Vegetation,Duck,Water bird,Nobbel6vs mosse,L 1T T, Jul 2014
2277,Lund_01019,Estate,Property,Building,Mansion,Palace,House,,,,,. Andreas Schaller,. Andreas Schaller, May 2016
2278,Lund_00112,Building,Property,House,Architecture,,,,,,,"‘é"" [N","‘é"" [N", Aug 2018
2279,Lund_00184,Sky,Landmark,Architecture,Building,Estate,,,,,,[T 8,a Diana Picus,
2280,Lund_02504,Property,Building,,,,,,,,,Linero-Ostra Torn Va,e Travel to, Jul 2017
2281,Lund_00449,Landmark,Building,Property,Architecture,Estate,Sky,Mansion,Palace,House,,Lundagérd 9,ﬂ.«’. Ben Pittoors, Jul 2018
2282,Lund_01886,Building,Landmark,Property,Architecture,Facade,Town,,,,,Kulturen,M) M2 BEGONA DEL, Mar 2018
2283,Lund_00399,Classical architecture,Landmark,Building,Architecture,Sky,Mansion,Estate,Palace,House,,Lundagérd 8,@ Martin Giles, Mar 2014
2284,Lund_01511,Estate,Building,Mansion,Property,Palace,Landmark,House,Architecture,Tree,Stately home,Lundagérd 9,@ T4, Jul 2017
2285,Lund_01112,Landmark,Architecture,Building,Sky,City,Town,Urban area,,,,LT T o1 T T T,@ Daniel Klein, Aug 2018
2286,Lund_01858,Body of water,Natural landscape,Nature,Bank,River,Natural environment,Water resources,Reflection,Tree,Pond,Stadsparken,Sebastian Svérde, Oct 2016
2287,Lund_01585,Natural landscape,Body of water,Nature,Water,River,Watercourse,Waterway,Stream,Natural environment,Water resources,Rinnebiéck Gorge,a Daniel Nilsson, Nov 2017
2288,Lund_02557,Sky,Transport,Architecture,Urban area,,,,,,,Biltema 3,(o e R Y],
2289,Lund_00413,Building,Landmark,Architecture,Classical architecture,Mansion,Palace,,,,,Lundagérd 8,i© martinaw, Jun 2018
2290,Lund_00892,Building,Property,Architecture,Landmark,House,,,,,,Scandic Star Lund,Z) zvi moses, Aug 2017
2291,Lund_02574,Team sport,Grass,Sky,,,,,,,,Klostergérdens IP,il VPN YT 1o K]0, Jun 2017
2292,Lund_03053,Sky,Sport venue,Public space,Cloud,,,,,,,Linero IP 8,o Travel to, Jul 2017
2293,Lund_01084,Estate,Building,Mansion,Palace,Official residence,Stately home,Landmark,Property,Manor house,House,Lundagérd,0 Marijke De Jong-, Jun 2015
2294,Lund_02013,Property,Building,House,Brick,Landmark,Roof,Brickwork,Home,Architecture,,Crafoord Auktioner i,Niklas Ljungkvist, Jun 2011
2295,Lund_00803,Classical architecture,Architecture,Landmark,Building,Daytime,Sky,Facade,,,,Lundagérd,B Bengt Ljungquist, Apr 2018
2296,Lund_01796,Garden,Botanical garden,Natural landscape,Botany,Plant,Pond,Flower,Water,Park,Spring,Lundagérd,R ROSA TRULLOLS, Jun 2013
2297,Lund_02202,Transport,Building,,,,,,,,,Steven Vancoillie,Steven Vancoillie, Sep 2016
2298,Lund_02477,Building,Commercial building,Architecture,,,,,,,,,, Dec 2016
2299,Lund_03203,Landmark,Palace,Building,Estate,Mansion,Property,Classical architecture,Architecture,House,Stately home,". A/ CYNT LT,",". A/ CYNT LT,",Photo
2300,Lund_02024,Classical architecture,Building,Architecture,Landmark,Facade,,,,,,Lundagérd ¢,ARSIl, Jun 2018
2301,Lund_01581,Property,Estate,Building,Mansion,Architecture,Stately home,,,,,Lundagérd ¢,@ Ludovic Barth, Jul 2015
2302,Lund_01411,Sky,,,,,,,,,,Lundagérd,Alena Kamenova, Jun 2017
2303,Lund_01940,Sky,Landmark,Building,Architecture,Town,Medieval architecture,Church,Wall,Place of worship,Cathedral,[T T o1 T T,Steve Dark, Sep 2017
2304,Lund_00426,Building,Landmark,College,Public space,Grass,City,Architecture,Campus,Human settlement,Estate,Bantorget 8,L 1T T, Mar 2017
2305,Lund_02884,Estate,Property,Garden,Building,House,,,,,,Lundagérd ¢,@ Ludovic Barth, Jul 2015
2306,Lund_00596,Landmark,Building,Town,Property,Architecture,City,Human settlement,,,,Katedral High Schoo,S Sanbao Xu, Apr 2013
2307,Lund_02592,Natural landscape,Pasture,Land lot,Natural environment,Field,Rural area,Fence,Tree,Farm,Grassland,Nobbelbvs mosse,3 Michael Hanssor, Jan 2018
2308,Lund_02192,Natural landscape,Natural environment,Grassland,Nature reserve,Marsh,Wetland,Vegetation,Freshwater marsh,Pasture,Green,,,
2309,Lund_00364,Medieval architecture,Building,Landmark,Architecture,Place of worship,Church,Classical architecture,Cathedral,,,Lund Cathedral,a Sumeet Ranjan S, May 2017
2310,Lund_02490,,,,,,,,,,,@ Dorota Gebusia,@ Dorota Gebusia, Jul 2017
2311,Lund_00178,Aerial photography,Metropolitan area,Urban area,Bird's-eye view,Cityscape,City,Residential area,Suburb,Sky,Human settlement,DCIM\102MEDIA\DJ,Mohamed Elban, Oct 2017
2312,Lund_00508,Property,Building,Landmark,Estate,Mansion,House,Stately home,,,,Lundagérd,AD Andreas Rundcra, May 2017
2313,Lund_01319,Landmark,Architecture,Building,Estate,House,,,,,,Lund Observatory,Jonathan Lundbe, May 2018
2314,Lund_01089,Water,Architecture,Sky,Botany,,,,,,,Lundagérd 9,L 1T T, Sep 2013
2315,Lund_02460,Plain,Grassland,Sky,Natural environment,Field,Daytime,Land lot,Prairie,Steppe,Pasture,Klosteréingshdjden,@ ) Banne Rumengal, May 2018
2316,Lund_02867,Spire,Steeple,Landmark,Church,Building,Architecture,Sky,Place of worship,Tower,,Allhelgonakyrkan,:}.h Jorge Gavilanes, Sep 2017
2317,Lund_02325,Property,Building,Town,,,,,,,,Lilla Coop s,Igor Nord, Jul 2017
2318,Lund_00318,Building,Landmark,Architecture,Town,City,Human settlement,Steeple,Sky,Medieval architecture,,Lund Tourist Center,@ Lars Welin, Jul 2017
2319,Lund_02337,Grassland,Pasture,Natural landscape,Natural environment,Land lot,Vegetation,Prairie,Meadow,Plain,Nature reserve,Nobbelbvs mosse,M Maria Tracz, Jul 2017
2320,Lund_01860,Property,Home,Sky,Grass,House,Architecture,Public space,Real estate,Botany,,Lundagérd,D  Dominik Wojciec, May 2015
2321,Lund_01109,Landmark,Tree,Public space,Botany,Architecture,,,,,,Lundagérd,d Mohamed Elshat, Jun 2017
2322,Lund_02142,Property,Building,Architecture,Town,,,,,,,Kulturen,‘ Marion Kaletta, Apr 2018
2323,Lund_01386,Building,Property,Estate,Town,Mansion,Architecture,,,,,Kulturen,Kulturen, Mar 2017
2324,Lund_03159,Sky,Leisure centre,Leisure,Swimming pool,Public space,Cloud,,,,,Rinnebidck Gorge,a‘ Prashant Bari, May 2017
2325,Lund_02691,Sky,Sport venue,Cloud,,,,,,,,Ljungs Handel,M) Mattias Onsdorff,
2326,Lund_00052,Landmark,Architecture,Medieval architecture,Building,Church,Cathedral,Gothic architecture,Place of worship,Sky,,% UL ETLIHE,% UL ETLIHE, Mar 2018
2327,Lund_00437,Estate,Building,Palace,Mansion,Landmark,Property,Architecture,Château,Stately home,House,Lundagérd,E Eugenio Giudicia, Sep 2017
2328,Lund_00574,Building,Palace,Landmark,Classical architecture,Architecture,Official residence,Mansion,Presidential palace,,,AB Tetra Pak c,a FN, Aug 2017
2329,Lund_02027,Garden,Botanical garden,Tree,Botany,Park,,,,,,Stadsparken,% William Térneber, May 2018
